onset	duration	trial_type	electrodes_involved_onset	electrodes_involved_offset	sample_start	electrical_stimulation_type	electrical_stimulation_site	electrical_stimulation_site_num	electrical_stimulation_current	notes	status	status_description
813.40185546875	0.0002	electrical_stimulation	n/a	n/a	2421559	biphasic	RA5-RA6	5-6	6.0 mA	n/a	good	n/a
816.337890625	0.0002	electrical_stimulation	n/a	n/a	2427572	biphasic	RA5-RA6	5-6	6.0 mA	n/a	good	n/a
819.91259765625	0.0002	electrical_stimulation	n/a	n/a	2434893	biphasic	RA5-RA6	5-6	6.0 mA	n/a	good	n/a
824.68359375	0.0002	electrical_stimulation	n/a	n/a	2444664	biphasic	RA5-RA6	5-6	6.0 mA	n/a	good	n/a
828.98486328125	0.0002	electrical_stimulation	n/a	n/a	2453473	biphasic	RA5-RA6	5-6	6.0 mA	n/a	good	n/a
833.60888671875	0.0002	electrical_stimulation	n/a	n/a	2462943	biphasic	RA5-RA6	5-6	6.0 mA	n/a	good	n/a
853.66064453125	0.0002	electrical_stimulation	n/a	n/a	2504009	biphasic	RA6-RA7	6-7	6.0 mA	n/a	good	n/a
857.9404296875	0.0002	electrical_stimulation	n/a	n/a	2512774	biphasic	RA6-RA7	6-7	6.0 mA	n/a	good	n/a
862.5390625	0.0002	electrical_stimulation	n/a	n/a	2522192	biphasic	RA6-RA7	6-7	6.0 mA	n/a	good	n/a
866.8447265625	0.0002	electrical_stimulation	n/a	n/a	2531010	biphasic	RA6-RA7	6-7	6.0 mA	n/a	good	n/a
872.10009765625	0.0002	electrical_stimulation	n/a	n/a	2541773	biphasic	RA6-RA7	6-7	6.0 mA	n/a	good	n/a
877.67822265625	0.0002	electrical_stimulation	n/a	n/a	2553197	biphasic	RA6-RA7	6-7	6.0 mA	n/a	good	n/a
882.2451171875	0.0002	electrical_stimulation	n/a	n/a	2562550	biphasic	RA6-RA7	6-7	6.0 mA	n/a	good	n/a
886.2490234375	0.0002	electrical_stimulation	n/a	n/a	2570750	biphasic	RA6-RA7	6-7	6.0 mA	n/a	good	n/a
